Corpus Type: bow
Topic Count: 10

test_14826       0: 0.011031288537060  1: 0.009087114006357  2: 0.296597127729358  3: 0.000261173784137  4: 0.565423946660958  5: 0.038353065607001  6: 0.000261170834468  7: 0.000261143362920  8: 0.078462820081337  9: 0.000261149396405 
test_14872       0: 0.107355677553553  1: 0.315667064003819  2: 0.427094406267232  3: 0.001087141070965  4: 0.001087197276026  5: 0.001087130542016  6: 0.055650628484196  7: 0.001087183106751  8: 0.001087347359601  9: 0.088796224335841 

test_14873       0: 0.039417124515398  1: 0.000926195201097  2: 0.437891388650394  3: 0.000926204231157  4: 0.000926147308980  5: 0.000926193634479  6: 0.281485487501668  7: 0.000926117230462  8: 0.235648940862046  9: 0.000926200864319 

test_14875       0: 0.076505314039881  1: 0.001754965987227  2: 0.001755042464771  3: 0.001755012711798  4: 0.001754667449583  5: 0.001755172482780  6: 0.185854125802054  7: 0.071570906820961  8: 0.416695604796087  9: 0.240599187444858 

test_14876       0: 0.315130548100061  1: 0.002222649671034  2: 0.002222687591516  3: 0.150851930498551  4: 0.002222410002019  5: 0.002222451699193  6: 0.157319248264024  7: 0.002222493752036  8: 0.002222365023150  9: 0.363363215398415 

test_14877       0: 0.001886859345405  1: 0.001887321119085  2: 0.001887084331320  3: 0.001887185851799  4: 0.561177064011973  5: 0.423726333439337  6: 0.001887007724027  7: 0.001887114820162  8: 0.001887167291457  9: 0.001886862065435 

test_14881       0: 0.001020577293705  1: 0.001020965132246  2: 0.001020694008319  3: 0.001020680634209  4: 0.923982598791567  5: 0.001020636649550  6: 0.001020586433636  7: 0.001020609522889  8: 0.067852199189928  9: 0.001020452343950 

test_14882       0: 0.001818794157765  1: 0.001818777911230  2: 0.192879975646017  3: 0.001818602132187  4: 0.001818647653347  5: 0.122893695651155  6: 0.001818478803370  7: 0.671495505265745  8: 0.001818784897915  9: 0.001818737881269 

test_14885       0: 0.001852133976518  1: 0.001852230294936  2: 0.001852265215833  3: 0.001852224893866  4: 0.386141825961117  5: 0.001852237519792  6: 0.001852256638634  7: 0.599040456763056  8: 0.001852479403106  9: 0.001851889333141 

test_14886       0: 0.004762239582323  1: 0.004763232200673  2: 0.004762843341320  3: 0.004762878427202  4: 0.004764040233050  5: 0.312024954064166  6: 0.004762476149784  7: 0.649872067067868  8: 0.004763063000344  9: 0.004762205933269 

test_14888       0: 0.000699474019096  1: 0.796255581671623  2: 0.000699517284994  3: 0.099831975694347  4: 0.085779476373324  5: 0.013936006170382  6: 0.000699528979656  7: 0.000699447959094  8: 0.000699505673554  9: 0.000699486173931 

test_14890       0: 0.000272538089800  1: 0.122485642137033  2: 0.063818130331513  3: 0.000272521056657  4: 0.000272571853778  5: 0.154102093258276  6: 0.087154777993081  7: 0.000272541454314  8: 0.571076663240261  9: 0.000272520585287 

test_14891       0: 0.018020736786536  1: 0.000270342358302  2: 0.460860519597762  3: 0.000270345072490  4: 0.000270364975154  5: 0.399397691015237  6: 0.000270326375368  7: 0.005360516052193  8: 0.115008852070814  9: 0.000270305696145 

test_14892       0: 0.000826548677084  1: 0.000826564874181  2: 0.000826693360301  3: 0.000826632007091  4: 0.000826660744405  5: 0.000826640043106  6: 0.000826579069101  7: 0.992560500741456  8: 0.000826665294415  9: 0.000826515188859 

test_14899       0: 0.005263815003837  1: 0.252208107849951  2: 0.005264768640530  3: 0.005264211887261  4: 0.005264340436918  5: 0.005265272620657  6: 0.005263616639355  7: 0.005263460125899  8: 0.005264339985918  9: 0.705678066809673 

test_14900       0: 0.111466522035806  1: 0.628351949405554  2: 0.147915450315278  3: 0.015103456757094  4: 0.091666776741106  5: 0.001099204174483  6: 0.001099140361470  7: 0.001099163425915  8: 0.001099147442768  9: 0.001099189340526 

test_14903       0: 0.002273310720723  1: 0.002273177194313  2: 0.397091482269155  3: 0.002273399103183  4: 0.002273249365262  5: 0.002273139446312  6: 0.305075379447216  7: 0.002273096564672  8: 0.002273313740641  9: 0.281920452148523 

test_14904       0: 0.000862215695590  1: 0.000862154047882  2: 0.000862410985070  3: 0.000862184440147  4: 0.727768370000470  5: 0.000862232122229  6: 0.000862211169942  7: 0.000862919308036  8: 0.265333169378444  9: 0.000862132852190 

test_14907       0: 0.001886965247264  1: 0.914096653846721  2: 0.001887209607933  3: 0.070806134628554  4: 0.001887428411841  5: 0.001887331021278  6: 0.001887169888536  7: 0.001887067964047  8: 0.001887172373745  9: 0.001886867010082 

test_14909       0: 0.001041824547366  1: 0.312224547590117  2: 0.374228207831648  3: 0.001041854644709  4: 0.148744429844449  5: 0.001041906605631  6: 0.001041876168191  7: 0.057293946882346  8: 0.102299588095070  9: 0.001041817790473 

test_14911       0: 0.000781348819316  1: 0.385084505871428  2: 0.289988885477157  3: 0.000781485207717  4: 0.166416786027176  5: 0.017479162456935  6: 0.000781412622569  7: 0.000781320619169  8: 0.000781477232419  9: 0.137123615666115 

test_14912       0: 0.001020577211793  1: 0.001020964667182  2: 0.001020694502266  3: 0.001020680420932  4: 0.925180814560269  5: 0.001020635829936  6: 0.001020586472507  7: 0.001020609542665  8: 0.066653984441382  9: 0.001020452351067 

test_14913       0: 0.002174208718271  1: 0.002174454004274  2: 0.002174309490193  3: 0.002174797324954  4: 0.572693740520158  5: 0.002174400616803  6: 0.002174539724915  7: 0.002174360238159  8: 0.409911145314545  9: 0.002174044047728 

test_14918       0: 0.004546385086203  1: 0.004546209376607  2: 0.004546940975798  3: 0.004546096947036  4: 0.004546878157304  5: 0.234609287425027  6: 0.004545931642307  7: 0.555777134552290  8: 0.177789359142662  9: 0.004545776694768 

test_14919       0: 0.002326139070224  1: 0.002325849983575  2: 0.979066135303548  3: 0.002325835156078  4: 0.002325782960900  5: 0.002325800299886  6: 0.002325950760797  7: 0.002326021079403  8: 0.002326193849928  9: 0.002326291535662 

test_14921       0: 0.065882306894009  1: 0.004554405497348  2: 0.013200745863097  3: 0.777685000881158  4: 0.079245985523423  5: 0.058436265178958  6: 0.000248821991721  7: 0.000248829999769  8: 0.000248808995554  9: 0.000248829174963 

test_14922       0: 0.001087156409201  1: 0.239801347652036  2: 0.001087296057326  3: 0.001087126499303  4: 0.001087082094005  5: 0.072554958738994  6: 0.109152681881431  7: 0.571967895347169  8: 0.001087401445711  9: 0.001087053874824 

test_14923       0: 0.001960912897094  1: 0.001961019299516  2: 0.001961066262278  3: 0.001960949187357  4: 0.001961371677621  5: 0.001961057829013  6: 0.029096017682008  7: 0.955215672287019  8: 0.001961130742461  9: 0.001960802135632 

test_14926       0: 0.001667211914674  1: 0.266885747867703  2: 0.477323809015974  3: 0.001667050687267  4: 0.001666776944533  5: 0.001666860400103  6: 0.244121216708401  7: 0.001666997303811  8: 0.001666807561581  9: 0.001667521595953 

test_14928       0: 0.030038574420025  1: 0.000961734583926  2: 0.417773739912919  3: 0.000961815981872  4: 0.000961685404654  5: 0.075827085062676  6: 0.091245550997549  7: 0.341640790752670  8: 0.039627259216161  9: 0.000961763667549 

test_14930       0: 0.002000699024409  1: 0.002000571807815  2: 0.592270474616402  3: 0.159034062064777  4: 0.002000301054718  5: 0.002000401209571  6: 0.002000682670061  7: 0.002000349314966  8: 0.002000506918014  9: 0.234691951319267 

test_14931       0: 0.000458864658473  1: 0.000458966319678  2: 0.000458920156783  3: 0.000458845803260  4: 0.000458851773862  5: 0.000458844137160  6: 0.000458793535050  7: 0.000458829051803  8: 0.995870285767819  9: 0.000458798796111 

test_14932       0: 0.002273014762838  1: 0.562565457323384  2: 0.002272860647491  3: 0.174371523764786  4: 0.002273158742138  5: 0.247151883064962  6: 0.002273165638803  7: 0.002272880694816  8: 0.002272873903813  9: 0.002273181456968 

test_14933       0: 0.444692883087795  1: 0.001449649490360  2: 0.543710611836497  3: 0.001449557513379  4: 0.001449405063996  5: 0.001449619653758  6: 0.001449682160650  7: 0.001449553324863  8: 0.001449540827963  9: 0.001449497040739 

test_14934       0: 0.006250244075172  1: 0.006250265526765  2: 0.006250081901597  3: 0.168776443087960  4: 0.006250112810876  5: 0.006250125271401  6: 0.006250207423237  7: 0.006250081283502  8: 0.006250082273184  9: 0.781222356346306 

test_14941       0: 0.089779150008130  1: 0.131963122178906  2: 0.001163070337080  3: 0.164477616248533  4: 0.001162990508641  5: 0.477936483465827  6: 0.001163143786198  7: 0.001162983495913  8: 0.001163010090337  9: 0.130028429880435 

test_14943       0: 0.007692822982674  1: 0.007693566182604  2: 0.007692618763345  3: 0.748813943915128  4: 0.007693645208981  5: 0.007693733635811  6: 0.007693550760787  7: 0.007692572990486  8: 0.007693250124407  9: 0.189640295435776 

test_14949       0: 0.001471067964411  1: 0.177877225643609  2: 0.001470899407230  3: 0.341141723412489  4: 0.001470984512408  5: 0.098985289714070  6: 0.001471343191297  7: 0.001470910996289  8: 0.001471359601895  9: 0.373169195556301 

test_14951       0: 0.001587572870944  1: 0.001587440772098  2: 0.001587840548437  3: 0.001587558177469  4: 0.985711931955055  5: 0.001587611979176  6: 0.001587476358771  7: 0.001587504275651  8: 0.001587608032427  9: 0.001587455029972 

test_14954       0: 0.005263752820692  1: 0.005263830192240  2: 0.005264147749184  3: 0.005264229028274  4: 0.005263536489029  5: 0.005263563653180  6: 0.005264266087138  7: 0.005263292210529  8: 0.005263464440433  9: 0.952625917329301 

test_14957       0: 0.001408542093579  1: 0.389275157124530  2: 0.001408956039071  3: 0.001408790236310  4: 0.536122093561651  5: 0.001408922372352  6: 0.001408713529647  7: 0.064741024181875  8: 0.001408811612641  9: 0.001408989248344 

test_14958       0: 0.009091358105656  1: 0.009090916202586  2: 0.009090914011882  3: 0.009090917722197  4: 0.009090911631861  5: 0.009090910459435  6: 0.194634832934169  7: 0.009090909218563  8: 0.009090909271675  9: 0.732637420441978 

test_14959       0: 0.000900970458697  1: 0.000901096592494  2: 0.000901128905778  3: 0.072292353971493  4: 0.335205493522804  5: 0.108780087040230  6: 0.014399762586844  7: 0.087524087691784  8: 0.378194064487486  9: 0.000900954742391 

test_14960       0: 0.003571888681513  1: 0.003571703587117  2: 0.003571477587950  3: 0.003571521938620  4: 0.003571439709942  5: 0.003571469544584  6: 0.003571535910819  7: 0.003571478262035  8: 0.003571434742091  9: 0.967856050035330 

test_14962       0: 0.006667631860597  1: 0.006666854601865  2: 0.006667059976375  3: 0.006666843441710  4: 0.006666715518055  5: 0.006666706908664  6: 0.168434849377791  7: 0.006666881482386  8: 0.006666692072543  9: 0.778229764760013 

test_14963       0: 0.003226812915909  1: 0.003225872054282  2: 0.003225914275141  3: 0.003225919199051  4: 0.003225868732858  5: 0.003225921909671  6: 0.107952052899066  7: 0.003225903989475  8: 0.003225860411094  9: 0.866239873613452 

test_14964       0: 0.001923581256931  1: 0.001923464645405  2: 0.982688603837076  3: 0.001923332663626  4: 0.001923348790186  5: 0.001923254516769  6: 0.001923616049177  7: 0.001923483750690  8: 0.001923604495970  9: 0.001923709994169 

test_14965       0: 0.480489083050042  1: 0.006667098301336  2: 0.006666987122209  3: 0.006667144581252  4: 0.006666689620866  5: 0.006666752529847  6: 0.006670283766842  7: 0.006666680005849  8: 0.006666678924130  9: 0.466172602097627 

test_14967       0: 0.535774659480836  1: 0.002703054952464  2: 0.248409126279861  3: 0.002703065886695  4: 0.002702938046350  5: 0.002703037413143  6: 0.196893714609099  7: 0.002703167410279  8: 0.002703778585753  9: 0.002703457335521 

test_14968       0: 0.007143947975862  1: 0.007143359363790  2: 0.007143966418968  3: 0.194490360472917  4: 0.007143046435843  5: 0.007143644269948  6: 0.007144472279465  7: 0.007142946966012  8: 0.007147353647698  9: 0.748356902169496 

test_14969       0: 0.537480431439639  1: 0.176426249581852  2: 0.003448639302645  3: 0.003448760426029  4: 0.003448459135181  5: 0.003448663870669  6: 0.003449012042415  7: 0.003448480184794  8: 0.003448880299059  9: 0.261952423717718 

test_14970       0: 0.005001595804614  1: 0.005001050659785  2: 0.005000538420898  3: 0.005001766041054  4: 0.005000807364728  5: 0.005001340312053  6: 0.005001633920995  7: 0.005000804398991  8: 0.005000924526375  9: 0.954989538550507 

test_14971       0: 0.004762326413711  1: 0.004762034885196  2: 0.004761933778128  3: 0.004762051305978  4: 0.004761913919878  5: 0.004761924927242  6: 0.004762029986753  7: 0.004761947963867  8: 0.004761908094424  9: 0.957141928724822 

test_14974       0: 0.004762146089378  1: 0.127671892098152  2: 0.004762958269906  3: 0.004762043329314  4: 0.004762122572871  5: 0.004762908927913  6: 0.004762392628634  7: 0.834227505636792  8: 0.004763772656104  9: 0.004762257790936 

test_14975       0: 0.221415076403419  1: 0.001075414768246  2: 0.080862374011514  3: 0.001075403582265  4: 0.001075364337736  5: 0.001075421339415  6: 0.690194311137947  7: 0.001075539892636  8: 0.001075487763911  9: 0.001075606762910 

test_14978       0: 0.002000247997782  1: 0.002000297761064  2: 0.002000206613107  3: 0.981997976595775  4: 0.002000191071270  5: 0.002000249056130  6: 0.002000401314307  7: 0.002000127832451  8: 0.002000128202288  9: 0.002000173555827 

test_14981       0: 0.005000328935031  1: 0.005000188206469  2: 0.005000024246533  3: 0.005000182122696  4: 0.005000037622941  5: 0.005000038636001  6: 0.005000176817091  7: 0.005000190751567  8: 0.005000020072259  9: 0.954998812589413 

test_14982       0: 0.000469547541531  1: 0.465661193677376  2: 0.000469589343372  3: 0.120608623674374  4: 0.129596273938902  5: 0.029002947338668  6: 0.028737170409917  7: 0.009213659509223  8: 0.215771474437851  9: 0.000469520128786 

test_14983       0: 0.374459285806624  1: 0.002439688523945  2: 0.002439160587888  3: 0.002439117872131  4: 0.002439112735218  5: 0.026493737935198  6: 0.002439263042816  7: 0.002439171683502  8: 0.002439143542594  9: 0.581972318270083 

test_14984       0: 0.489389744094179  1: 0.000934747379554  2: 0.000934795506216  3: 0.000934779062444  4: 0.000934742628939  5: 0.285549766743885  6: 0.014427892236084  7: 0.000934785116588  8: 0.205023971118073  9: 0.000934776114038 

test_14985       0: 0.007693003502658  1: 0.007692738262753  2: 0.007694033581698  3: 0.007692566011354  4: 0.007692947825510  5: 0.007693530722171  6: 0.007694225266112  7: 0.007692380865929  8: 0.103626013557499  9: 0.834828560404317 

test_14986       0: 0.004762125225092  1: 0.004762351693399  2: 0.004761952309254  3: 0.004762455422826  4: 0.217466541117117  5: 0.004762057083343  6: 0.004762426403494  7: 0.744435759510018  8: 0.004762400697381  9: 0.004761930538076 

test_14987       0: 0.000637018857671  1: 0.000637039652824  2: 0.000637087301935  3: 0.000637046282151  4: 0.061763361924468  5: 0.000637095952169  6: 0.013523045818464  7: 0.000637028960551  8: 0.920254278897245  9: 0.000636996352523 

test_14988       0: 0.001163077657579  1: 0.001163060361428  2: 0.001163068961906  3: 0.001163113619653  4: 0.497385712457853  5: 0.001163023374374  6: 0.001163113983230  7: 0.493309810204153  8: 0.001163144100808  9: 0.001162875279016 

test_14993       0: 0.566876239066335  1: 0.001010311048529  2: 0.289532286477361  3: 0.001010316623191  4: 0.001010246577457  5: 0.001010262549133  6: 0.136519512158309  7: 0.001010249969188  8: 0.001010308661135  9: 0.001010266869360 

test_14995       0: 0.006668906420103  1: 0.147668990039996  2: 0.006666701226150  3: 0.006666785832024  4: 0.006666674018098  5: 0.006666683640800  6: 0.006667455872524  7: 0.006666673224477  8: 0.006666673579503  9: 0.798994456146327 

test_14998       0: 0.003030583471298  1: 0.003030595092176  2: 0.003030346718335  3: 0.003031022668716  4: 0.003030343314873  5: 0.003030394447731  6: 0.003030523866732  7: 0.003030439163149  8: 0.003030343079709  9: 0.972725408177281 

test_15000       0: 0.360117744863678  1: 0.002941357040764  2: 0.002941746713549  3: 0.002941681190115  4: 0.002942277364132  5: 0.075129081607418  6: 0.002941970700051  7: 0.002941680648809  8: 0.002941866583321  9: 0.544160593288162 

test_15001       0: 0.005000431470367  1: 0.005001457753619  2: 0.005000414172970  3: 0.537381414350235  4: 0.005000485791181  5: 0.005001217748492  6: 0.005001540179472  7: 0.422610237389529  8: 0.005002207772545  9: 0.005000593371591 

test_15002       0: 0.006668357371036  1: 0.006667809300620  2: 0.006669022086899  3: 0.006668939272019  4: 0.006668650500080  5: 0.006672295337915  6: 0.177366212261157  7: 0.006668141236984  8: 0.006668678894190  9: 0.769281893739100 

test_15004       0: 0.649851665690542  1: 0.003334461409878  2: 0.003334254280037  3: 0.323476962336809  4: 0.003333677580643  5: 0.003333860397846  6: 0.003333762766264  7: 0.003333973249807  8: 0.003333832823349  9: 0.003333549464827 

test_15005       0: 0.588591576569807  1: 0.002041342298730  2: 0.002041447072453  3: 0.158982790308126  4: 0.002041475388132  5: 0.088883011770536  6: 0.151294545738332  7: 0.002041537077040  8: 0.002041300369609  9: 0.002040973407236 

test_15006       0: 0.007143950016172  1: 0.007143065831991  2: 0.007143207107443  3: 0.007143329341743  4: 0.007142935249702  5: 0.007143007089604  6: 0.007143609239200  7: 0.007143208778228  8: 0.007142952890705  9: 0.935710734455212 

test_15011       0: 0.007693110812448  1: 0.007693813908970  2: 0.007692390364003  3: 0.239888162251038  4: 0.007692661705859  5: 0.007692410760139  6: 0.007692596099288  7: 0.007692314159255  8: 0.007692314658929  9: 0.698570225280070 

test_15012       0: 0.007143096037327  1: 0.007143176170975  2: 0.007142990598227  3: 0.182860731688742  4: 0.007143087447004  5: 0.007142949449903  6: 0.007143060289353  7: 0.007142972400794  8: 0.007142944759959  9: 0.759994991157717 

test_15013       0: 0.000961642575284  1: 0.000961738627504  2: 0.159337529923943  3: 0.000961701673675  4: 0.000961744848102  5: 0.000961872596009  6: 0.000961701554026  7: 0.832968526924381  8: 0.000961787435683  9: 0.000961753841393 

test_15016       0: 0.319545236948086  1: 0.007693008235706  2: 0.007692566266931  3: 0.007692511757114  4: 0.007692386468574  5: 0.007692415955240  6: 0.311275150236811  7: 0.007692349366070  8: 0.007692588874971  9: 0.315331785890497 

test_15017       0: 0.002857403566920  1: 0.002857788088171  2: 0.002857506340936  3: 0.002857717998194  4: 0.527526130321820  5: 0.002857428357011  6: 0.002857636746215  7: 0.449613489034106  8: 0.002857685482898  9: 0.002857214063729 

test_15020       0: 0.001000266815470  1: 0.158859434735363  2: 0.001000203627206  3: 0.234501796685586  4: 0.001000268478979  5: 0.001000234656240  6: 0.360121015005028  7: 0.001000175165746  8: 0.199530156073457  9: 0.041986448756925 

test_15023       0: 0.007694522709770  1: 0.007692810839092  2: 0.007692523803012  3: 0.007692778520151  4: 0.007692355697223  5: 0.007692427677214  6: 0.007692684531663  7: 0.007692347133477  8: 0.007692347387408  9: 0.930765201700989 

test_15024       0: 0.002778431619248  1: 0.002778536833240  2: 0.002778215160988  3: 0.130773874542837  4: 0.002778144093645  5: 0.056528827573674  6: 0.793248968776299  7: 0.002778485682666  8: 0.002778238176700  9: 0.002778277540701 

test_15026       0: 0.981995943190294  1: 0.002000537094203  2: 0.002000564341979  3: 0.002000254999177  4: 0.002000100181373  5: 0.002000698653297  6: 0.002000559538595  7: 0.002000467174584  8: 0.002000286479102  9: 0.002000588347396 

test_15027       0: 0.297363999955128  1: 0.008333789955496  2: 0.008333361528833  3: 0.008334964048233  4: 0.008333356977334  5: 0.008333677712762  6: 0.008336646384658  7: 0.008333348722701  8: 0.008333344185829  9: 0.635963510529026 

test_15028       0: 0.002273036253707  1: 0.002272970778122  2: 0.002273267974810  3: 0.002272987723859  4: 0.002273144031588  5: 0.002273029865954  6: 0.002273094184422  7: 0.002272975030530  8: 0.002273477493544  9: 0.979542016663464 

test_15029       0: 0.002703493352613  1: 0.002703185387826  2: 0.002703033924895  3: 0.804048779888822  4: 0.002702992900931  5: 0.002702856152759  6: 0.002703110068725  7: 0.002702942394446  8: 0.002702832705400  9: 0.174326773223583 

test_15031       0: 0.001219791930013  1: 0.019273350064077  2: 0.001219699427287  3: 0.152080162026103  4: 0.001219682477781  5: 0.001219862154456  6: 0.820108559779542  7: 0.001219645720862  8: 0.001219650630680  9: 0.001219595789199 

test_15032       0: 0.004167417221610  1: 0.004167032312843  2: 0.004166955326750  3: 0.108467645619053  4: 0.004166943927395  5: 0.040388332294311  6: 0.004167121719835  7: 0.004166785371636  8: 0.004166896949947  9: 0.821974869256620 

test_15033       0: 0.001219783063148  1: 0.001219827637424  2: 0.243352026429086  3: 0.001219735528195  4: 0.212569219765595  5: 0.001219865428117  6: 0.001219764473524  7: 0.300299087910822  8: 0.236460939481805  9: 0.001219750282284 

test_15037       0: 0.004348365855891  1: 0.004349084188589  2: 0.004348136583946  3: 0.539909615538306  4: 0.004348221886876  5: 0.004348237516441  6: 0.004348838991653  7: 0.004348012002738  8: 0.004348126939720  9: 0.425303360495840 

test_15038       0: 0.002381524158790  1: 0.221563165882051  2: 0.128382059046239  3: 0.002381283661121  4: 0.002381130369016  5: 0.518922688218530  6: 0.002381283112851  7: 0.002381250398025  8: 0.002381236230390  9: 0.116844378922988 

test_15043       0: 0.004919573479101  1: 0.000334505163975  2: 0.000334503736785  3: 0.000334513848474  4: 0.007317498450341  5: 0.000334496275712  6: 0.000334495992479  7: 0.985421394720202  8: 0.000334492716659  9: 0.000334525616272 

test_15045       0: 0.001389023941661  1: 0.001389070140208  2: 0.116747586783319  3: 0.001389040667067  4: 0.001389326896741  5: 0.001389131269359  6: 0.067139238058555  7: 0.806389183038342  8: 0.001389257125615  9: 0.001389142079134 

test_15046       0: 0.100000000000000  1: 0.100000000000000  2: 0.100000000000000  3: 0.100000000000000  4: 0.100000000000000  5: 0.100000000000000  6: 0.100000000000000  7: 0.100000000000000  8: 0.100000000000000  9: 0.100000000000000 

test_15048       0: 0.000847535360679  1: 0.000847739598837  2: 0.311119929229186  3: 0.110513174357589  4: 0.084078825576643  5: 0.000847761098592  6: 0.000847571683595  7: 0.000847584882612  8: 0.489202386456572  9: 0.000847491755696 

test_15049       0: 0.001695489921474  1: 0.001695264045977  2: 0.076651761626874  3: 0.001695393002905  4: 0.001695209248797  5: 0.001695131024568  6: 0.001695368864039  7: 0.001695212948464  8: 0.909786004736578  9: 0.001695164580323 

test_15052       0: 0.002632175491153  1: 0.002632522894812  2: 0.002632185538306  3: 0.002632473207286  4: 0.002632369327243  5: 0.002632480430721  6: 0.641430340351566  7: 0.002632320066540  8: 0.002632007045568  9: 0.337511125646805 

test_15053       0: 0.005883181976322  1: 0.005883100136153  2: 0.005885579940506  3: 0.005882867607629  4: 0.005885065885204  5: 0.005884265162843  6: 0.005884518920379  7: 0.005883332078442  8: 0.005887376799577  9: 0.947040711492944 

