Corpus Type: tfidf
Topic Count: 10

test_14826        6: 0.716346760342798   1: 0.141413697284777   0: 0.089762600406294   5: 0.007512142320442   4: 0.007496317648533   8: 0.007494777518466   9: 0.007493890383417   7: 0.007493545316433   3: 0.007493239709685   2: 0.007493029069156 
test_14867        6: 0.837783798292587   5: 0.038151485686086   0: 0.015518369644989   1: 0.015507114349255   7: 0.015506869070984   4: 0.015506805863588   9: 0.015506514549682   8: 0.015506400255503   2: 0.015506354569202   3: 0.015506287718123 

test_14872        1: 0.500502967205456   6: 0.381770459716828   5: 0.014721271706874   4: 0.014720099479584   9: 0.014716451066005   0: 0.014716083040709   8: 0.014714808070307   3: 0.014713493584743   7: 0.014712309596639   2: 0.014712056532857 

test_14873        6: 0.665069067069162   3: 0.221384289830286   0: 0.014797343185281   4: 0.014452995887823   5: 0.014218987175319   7: 0.014102717040398   9: 0.014019142412246   1: 0.013997413949012   8: 0.013979743882445   2: 0.013978299568027 

test_14875        1: 0.798409921202736   6: 0.039856870245467   5: 0.038278657071520   7: 0.017666088718518   0: 0.017651219525132   4: 0.017632384104334   9: 0.017631666123499   3: 0.017625282000148   8: 0.017624561641372   2: 0.017623349367273 

test_14876        3: 0.323544357947292   5: 0.267976755163288   1: 0.267358765845235   4: 0.020162928687559   6: 0.020162475945274   0: 0.020160720333054   8: 0.020159499088568   9: 0.020158523516483   7: 0.020158073545295   2: 0.020157899927951 

test_14877        6: 0.801033121494811   1: 0.055153220439034   7: 0.017983048295193   5: 0.017976354660746   0: 0.017976246124599   2: 0.017976237209958   9: 0.017975517358750   8: 0.017975456296815   3: 0.017975443469104   4: 0.017975354650991 

test_14881        6: 0.820487532058943   1: 0.089155368224012   0: 0.011296251041002   5: 0.011294829050332   8: 0.011294533308757   9: 0.011294425521978   7: 0.011294297961517   4: 0.011294259327795   2: 0.011294251843107   3: 0.011294251662558 

test_14882        6: 0.589301044642940   7: 0.170603004422340   0: 0.127431163344726   9: 0.016101707848158   5: 0.016095732023240   4: 0.016093867955904   1: 0.016093662124120   8: 0.016093653431208   2: 0.016093174348444   3: 0.016092989858921 

test_14885        6: 0.867465553101205   0: 0.014726772494869   1: 0.014726557761023   9: 0.014726158554024   7: 0.014725982959644   8: 0.014725944104573   5: 0.014725941255051   4: 0.014725742331689   2: 0.014725733229210   3: 0.014725614208711 

test_14886        6: 0.658393413739970   0: 0.154678511445861   5: 0.023367250043469   1: 0.023366563524574   7: 0.023366456547339   9: 0.023365690626413   4: 0.023365579019521   8: 0.023365572131346   3: 0.023365538323493   2: 0.023365424598013 

test_14888        0: 0.518975518762652   4: 0.195608788851032   6: 0.141725208106439   5: 0.068893077178954   1: 0.012469517475592   3: 0.012469309146006   8: 0.012465316221770   9: 0.012464761392484   2: 0.012464409337711   7: 0.012464093527358 

test_14890        6: 0.601950173312663   0: 0.182949871193499   7: 0.113091878920472   1: 0.050908515706365   9: 0.012014935503007   5: 0.007833627944214   2: 0.007818882559346   8: 0.007811753986948   4: 0.007810302346492   3: 0.007810058526994 

test_14891        6: 0.709586797178245   5: 0.082669332014179   1: 0.071869395351263   0: 0.051107406361042   3: 0.048367016593513   9: 0.007421316259412   7: 0.007250801050709   2: 0.007243146766326   8: 0.007242584749321   4: 0.007242203675991 

test_14892        6: 0.852706883443668   7: 0.016371457748274   5: 0.016365702321300   8: 0.016365493579605   0: 0.016365439582059   1: 0.016365405679590   9: 0.016365075945830   2: 0.016364939855374   4: 0.016364897801521   3: 0.016364704042779 

test_14899        0: 0.411057024652406   3: 0.374852471447627   5: 0.026787557715707   6: 0.026768346345677   1: 0.026760873278052   2: 0.026755681591220   8: 0.026755286210031   4: 0.026754564127713   9: 0.026754189144968   7: 0.026754005486599 

test_14900        6: 0.529670694620479   4: 0.288517081372252   1: 0.052878976149029   2: 0.031787938772842   0: 0.016194106166685   3: 0.016191732798643   5: 0.016191590559391   9: 0.016189838360025   8: 0.016189064559654   7: 0.016188976641000 

test_14903        6: 0.543580378511506   5: 0.297963432430686   1: 0.019809076216515   9: 0.019808343245095   0: 0.019807901300210   4: 0.019807207676054   7: 0.019806203446080   8: 0.019806085541538   3: 0.019805778802970   2: 0.019805592829346 

test_14904        6: 0.526032352815857   1: 0.256680506726737   9: 0.129172895919769   0: 0.012588966785354   5: 0.012588953230764   4: 0.012587612013551   3: 0.012587348844720   7: 0.012587143701880   8: 0.012587137926701   2: 0.012587082034667 

test_14907        6: 0.557374351232233   2: 0.266372299597693   0: 0.047502374506729   1: 0.018496022906589   9: 0.018379428459601   5: 0.018377024104398   4: 0.018375314755477   3: 0.018374747167165   8: 0.018374402541615   7: 0.018374034728499 

test_14909        1: 0.470075403212777   6: 0.403023997310842   9: 0.015867622989666   0: 0.015865844968097   7: 0.015865155987029   5: 0.015861831039235   8: 0.015860501887095   2: 0.015860039284188   4: 0.015860006403601   3: 0.015859596917470 

test_14911        3: 0.318008702326159   1: 0.309978447975023   6: 0.240574388286480   0: 0.052938060612574   5: 0.013097537888400   4: 0.013085450651325   7: 0.013079983334444   2: 0.013079801362111   8: 0.013079181871821   9: 0.013078445691662 

test_14912        6: 0.821828014197918   1: 0.086647659118672   0: 0.011442113238132   5: 0.011440746860363   8: 0.011440445130416   9: 0.011440332446614   7: 0.011440205130281   4: 0.011440166561550   2: 0.011440159072702   3: 0.011440158243352 

test_14913        6: 0.732683800297194   8: 0.100267905774859   7: 0.053432397321402   1: 0.016234096088677   0: 0.016231944551408   5: 0.016230353123555   9: 0.016230270809670   2: 0.016229906416492   4: 0.016229667994123   3: 0.016229657622619 

test_14918        6: 0.712676648737027   9: 0.121977232375802   0: 0.020669978263956   5: 0.020669770905043   7: 0.020667935093899   8: 0.020667928903142   1: 0.020667679106038   2: 0.020667637240212   4: 0.020667623085696   3: 0.020667566289185 

test_14919        9: 0.707033484733021   6: 0.138197621153479   8: 0.019350591002279   3: 0.019346465756828   5: 0.019346445246286   0: 0.019345767950234   1: 0.019345556465006   4: 0.019344994980150   2: 0.019344588638147   7: 0.019344484074570 

test_14921        0: 0.688506882964586   6: 0.226169062055831   9: 0.012332226155696   1: 0.011928915782846   4: 0.011120843012597   7: 0.010535415587340   5: 0.009912387419241   3: 0.009833972083816   8: 0.009831883967027   2: 0.009828410971020 

test_14922        6: 0.518586774800149   8: 0.284887549251313   0: 0.084820948937658   1: 0.027916146906084   7: 0.013999792163666   5: 0.013959486910179   4: 0.013958005488162   9: 0.013957815172583   3: 0.013956753551369   2: 0.013956726818838 

test_14923        6: 0.796257295644715   0: 0.074689215722569   7: 0.016148994091378   8: 0.016133868874814   9: 0.016131607695892   1: 0.016128173761436   5: 0.016127853999367   4: 0.016127704716694   2: 0.016127700993372   3: 0.016127584499762 

test_14926        9: 0.458733536779087   6: 0.374951032696985   7: 0.042863541488626   5: 0.017648154453097   1: 0.017639338203642   4: 0.017636385771716   0: 0.017634656820142   8: 0.017631816449461   2: 0.017630985521754   3: 0.017630551815490 

test_14928        6: 0.453764430246825   0: 0.434712605037132   7: 0.013945708168886   5: 0.013945146851168   1: 0.013939632124387   9: 0.013939513507084   8: 0.013938636284540   4: 0.013938283127052   3: 0.013938107170850   2: 0.013937937482076 

test_14930        5: 0.359738624968208   6: 0.329036220246459   9: 0.137495622402642   0: 0.054049148887714   1: 0.019949714345318   2: 0.019947054014840   4: 0.019946489486268   3: 0.019946207637733   7: 0.019945730899761   8: 0.019945187111057 

test_14931        6: 0.643120415130881   7: 0.146898472571676   0: 0.142129804322592   1: 0.009710673368202   3: 0.009691641602606   8: 0.009691337058495   5: 0.009689983781144   9: 0.009689576395710   4: 0.009689104242500   2: 0.009688991526196 

test_14932        6: 0.718832788993562   2: 0.071858370390047   4: 0.067740275827238   5: 0.020232733249433   1: 0.020226127650014   0: 0.020224870072364   9: 0.020222181044997   7: 0.020221570615953   3: 0.020221337110914   8: 0.020219745045478 

test_14933        6: 0.488657218741897   4: 0.369897451311574   0: 0.037873899993861   1: 0.014837646587956   5: 0.014793052579342   3: 0.014789249095531   9: 0.014788061111345   7: 0.014787975401528   2: 0.014787936699872   8: 0.014787508477094 

test_14934        5: 0.777561122881342   3: 0.024715925342747   4: 0.024715737262655   0: 0.024715644267074   8: 0.024715330750889   1: 0.024715292303611   2: 0.024715292201596   6: 0.024715255556020   7: 0.024715220781591   9: 0.024715178652476 

test_14941        2: 0.552549849469689   6: 0.275593314538514   0: 0.048549461419248   8: 0.017863490089927   9: 0.017580052008225   5: 0.017577134180149   1: 0.017574424572167   4: 0.017572317044990   7: 0.017570569206413   3: 0.017569387470679 

test_14943        6: 0.720870453834080   8: 0.031026644843728   5: 0.031023048671592   1: 0.031021309332741   0: 0.031015252799975   4: 0.031014882055940   2: 0.031009305539389   3: 0.031007755476287   7: 0.031006092074848   9: 0.031005255371420 

test_14949        6: 0.850631037205496   4: 0.016601852295076   1: 0.016600495137216   5: 0.016599972049559   0: 0.016597244875039   2: 0.016594232928411   9: 0.016594019732768   8: 0.016593852800810   3: 0.016593706486851   7: 0.016593586488773 

test_14951        6: 0.450928829160045   5: 0.271466477384033   3: 0.164985007090688   7: 0.016107574617697   8: 0.016094209408375   4: 0.016089012073693   0: 0.016084902757044   1: 0.016081900976561   9: 0.016081644066208   2: 0.016080442465656 

test_14954        5: 0.780400580267212   4: 0.024403087568991   7: 0.024402380841633   1: 0.024402242437197   6: 0.024402053325280   0: 0.024398411461681   3: 0.024398109801983   8: 0.024397998604018   9: 0.024397601210646   2: 0.024397534481358 

test_14957        6: 0.868326718194142   9: 0.014637301567489   2: 0.014636253133854   5: 0.014629185992783   1: 0.014629051863493   7: 0.014628417063255   8: 0.014628358417301   0: 0.014628347252243   3: 0.014628317365700   4: 0.014628049149741 

test_14958        3: 0.436128236219710   5: 0.254038024255344   4: 0.038746098436506   8: 0.038727447154331   2: 0.038727436345175   7: 0.038726973690279   9: 0.038726620294016   0: 0.038726591145927   1: 0.038726340300723   6: 0.038726232157989 

test_14959        1: 0.530944732572947   6: 0.369118666571098   8: 0.012599374556675   3: 0.012480862721828   0: 0.012477502764761   5: 0.012476351117792   9: 0.012475849613106   7: 0.012475780854096   2: 0.012475470981693   4: 0.012475408246005 

test_14960        5: 0.508379389061700   3: 0.219696565716101   0: 0.115054268098292   4: 0.022414438967812   6: 0.022412675910896   8: 0.022408968688840   2: 0.022408498238844   9: 0.022408484443380   7: 0.022408409375525   1: 0.022408301498611 

test_14962        5: 0.356614121917015   3: 0.244698909119168   7: 0.194156196584229   4: 0.029225649070230   8: 0.029217867250398   9: 0.029217612567065   0: 0.029217548247070   2: 0.029217529280219   1: 0.029217311195062   6: 0.029217254769545 

test_14963        5: 0.583155935224289   2: 0.226414319536595   4: 0.023811406664315   8: 0.023802994685365   0: 0.023802689642860   6: 0.023802677446078   1: 0.023802590295631   3: 0.023802521764727   9: 0.023802496652643   7: 0.023802368087498 

test_14964        9: 0.799504754221859   8: 0.022301037803664   1: 0.022279746961990   6: 0.022278699223639   5: 0.022274095671396   0: 0.022273535124913   4: 0.022272453743362   7: 0.022272133509435   2: 0.022271912188383   3: 0.022271631551359 

test_14965        4: 0.369952943693300   8: 0.357462458350463   5: 0.034085657877743   1: 0.034074992212566   2: 0.034071175380066   3: 0.034071018522699   0: 0.034070935475169   7: 0.034070429948193   9: 0.034070311718532   6: 0.034070076821269 

test_14967        0: 0.428369518781958   5: 0.226339791581500   3: 0.155490955039300   7: 0.070248436194906   6: 0.019930121522480   4: 0.019924930887430   1: 0.019924891208978   9: 0.019924726868352   8: 0.019923679155884   2: 0.019922948759212 

test_14968        7: 0.389769460561691   5: 0.387259837127672   4: 0.027876271272570   8: 0.027872172821095   6: 0.027872044981014   9: 0.027871280835707   0: 0.027870488071519   1: 0.027869651532323   3: 0.027869420295137   2: 0.027869372501272 

test_14969        5: 0.818403344971465   6: 0.020178309712076   4: 0.020178288239414   1: 0.020177880912288   8: 0.020177804509288   0: 0.020177492893936   9: 0.020177097632761   3: 0.020176688292921   2: 0.020176578105361   7: 0.020176514730490 

test_14970        5: 0.568501517567965   6: 0.253704599224393   4: 0.022226747335102   0: 0.022224405677654   8: 0.022224344618474   1: 0.022224192157705   9: 0.022223848064012   2: 0.022223604265457   3: 0.022223389096256   7: 0.022223351992981 

test_14971        5: 0.435957658851733   8: 0.354952358927098   4: 0.026142786448414   3: 0.026135688923820   2: 0.026135519965206   9: 0.026135409018130   7: 0.026135319861951   1: 0.026135203003788   0: 0.026135154213407   6: 0.026134900786452 

test_14974        6: 0.537894045522758   7: 0.273853819897376   5: 0.023533753664669   8: 0.023532066316721   0: 0.023532026154538   9: 0.023531819827544   1: 0.023531007755355   2: 0.023530564922711   3: 0.023530538638800   4: 0.023530357299528 

test_14975        4: 0.476711509944743   6: 0.336736983301403   0: 0.044754804386910   5: 0.020476078581587   1: 0.020224925729980   8: 0.020222353305391   9: 0.020219147483144   7: 0.020218424572051   2: 0.020217975567994   3: 0.020217797126797 

test_14978        1: 0.486303694378477   2: 0.273539237473766   0: 0.119962397193379   5: 0.017177211624761   6: 0.017172553065245   9: 0.017171181824747   4: 0.017169727574229   7: 0.017168157292703   8: 0.017168036626883   3: 0.017167802945810 

test_14981        4: 0.408112192180988   2: 0.382463251617028   5: 0.026188307296852   8: 0.026179155448691   6: 0.026176479128078   3: 0.026176427093493   7: 0.026176177623085   0: 0.026176103286282   1: 0.026176040289805   9: 0.026175866035698 

test_14982        6: 0.838993300976706   1: 0.062338010194710   7: 0.012521795262565   5: 0.012310102086681   0: 0.012307568755532   2: 0.012306659348941   9: 0.012305982386083   4: 0.012305752526817   8: 0.012305672592558   3: 0.012305155869406 

test_14983        5: 0.631994921317840   1: 0.157498560587393   6: 0.078464901950119   4: 0.018867732395923   8: 0.018863112500505   9: 0.018862509000571   7: 0.018862087963551   2: 0.018862081787501   0: 0.018862048772807   3: 0.018862043723790 

test_14984        6: 0.614721347114085   5: 0.169731106850184   8: 0.070315536665200   7: 0.051018173082719   4: 0.029754699149090   1: 0.012934752521397   0: 0.012889920245743   3: 0.012881239969730   9: 0.012877628450727   2: 0.012875595951125 

test_14985        5: 0.665621000209650   6: 0.124457308347615   0: 0.026250864034843   1: 0.026242306972442   4: 0.026241014368020   2: 0.026239513179268   8: 0.026239198231207   3: 0.026236333244617   7: 0.026236331149858   9: 0.026236130262481 

test_14986        6: 0.531206222103167   0: 0.268415215821556   9: 0.025071369169319   1: 0.025044366097758   7: 0.025044303943876   2: 0.025043846645222   5: 0.025043738778127   4: 0.025043703193652   3: 0.025043634704409   8: 0.025043599542915 

test_14987        6: 0.651872819813048   0: 0.191169470920438   7: 0.075937427841124   5: 0.011597724953472   1: 0.011587330105989   8: 0.011572890353324   3: 0.011571618892539   9: 0.011564161869261   4: 0.011563303766554   2: 0.011563251484251 

test_14988        6: 0.881117205989635   1: 0.013209557654073   9: 0.013209493907217   5: 0.013209440510628   0: 0.013209390285713   8: 0.013209100429403   7: 0.013209063022680   4: 0.013208975767349   2: 0.013208961864084   3: 0.013208810569217 

test_14993        1: 0.690382549454970   6: 0.160981714725619   0: 0.040746711054373   5: 0.015457367606875   8: 0.015416685664925   9: 0.015408657461212   4: 0.015404956927397   3: 0.015400611860871   7: 0.015400500304913   2: 0.015400244938844 

test_14995        4: 0.393290621488964   0: 0.380844697370668   5: 0.028242342536284   8: 0.028232111411761   3: 0.028232049736902   2: 0.028231852394662   9: 0.028231653915567   7: 0.028231640179834   1: 0.028231631367483   6: 0.028231399597874 

test_14998        5: 0.527312075326620   1: 0.198570119921095   3: 0.130294140419736   4: 0.020549326362803   0: 0.020546748664594   7: 0.020545998643597   6: 0.020545484800696   2: 0.020545386718321   9: 0.020545372258751   8: 0.020545346883786 

test_15000        3: 0.470772021912147   5: 0.343762492310699   6: 0.023218782339772   0: 0.023182736156958   4: 0.023181792442648   1: 0.023176848578686   8: 0.023176627234127   9: 0.023176473534338   7: 0.023176331602357   2: 0.023175893888268 

test_15001        7: 0.506347710166524   6: 0.180906217111239   0: 0.124273859028218   4: 0.026933950256181   2: 0.026931754588950   1: 0.026931349383352   5: 0.026923863012554   8: 0.026920419537462   3: 0.026916083216869   9: 0.026914793698652 

test_15002        5: 0.527625261610972   3: 0.253746857940852   0: 0.027380397501747   6: 0.027341907593031   8: 0.027324687534391   1: 0.027320598582003   4: 0.027317032042799   7: 0.027316632901508   9: 0.027313980480857   2: 0.027312643811841 

test_15004        7: 0.506744585463001   1: 0.288802419288379   5: 0.025563750931042   6: 0.025559848417579   0: 0.025557195334180   2: 0.025556459101244   4: 0.025556094117926   9: 0.025554496034019   3: 0.025552927210623   8: 0.025552224102006 

test_15005        3: 0.347426548733083   6: 0.315366941645440   0: 0.161634388445711   1: 0.046417542964711   8: 0.043615881140823   4: 0.017119446769285   7: 0.017111866121984   5: 0.017109086946256   9: 0.017099503491036   2: 0.017098793741670 

test_15006        5: 0.735939463334440   4: 0.029342933935629   8: 0.029340142033675   9: 0.029339832123620   3: 0.029339670280085   6: 0.029339632042430   7: 0.029339611353568   0: 0.029339606594061   2: 0.029339582354947   1: 0.029339525947544 

test_15011        4: 0.453099145435814   3: 0.280386690550417   5: 0.033366514535176   1: 0.033310044673327   2: 0.033309284377844   6: 0.033306996348494   0: 0.033306932497159   9: 0.033305745108922   7: 0.033304388402771   8: 0.033304258070076 

test_15012        5: 0.410130465001877   6: 0.391422240790101   3: 0.024851508830788   4: 0.024808571059525   2: 0.024807668582328   9: 0.024800719489240   1: 0.024795112470944   0: 0.024794655273329   8: 0.024794555844390   7: 0.024794502657479 

test_15013        6: 0.562092022004369   0: 0.307036941150100   5: 0.036463125590257   8: 0.013516118533112   1: 0.013483429874855   3: 0.013482695073796   2: 0.013481515375503   7: 0.013481471339455   9: 0.013481463488120   4: 0.013481217570434 

test_15016        5: 0.689267015673317   4: 0.034528527610617   1: 0.034528513728898   6: 0.034526531853743   3: 0.034526017579103   8: 0.034524856419509   0: 0.034524720854434   2: 0.034524693964242   7: 0.034524571528124   9: 0.034524550788014 

test_15017        6: 0.849940503163439   1: 0.016674128047843   0: 0.016673516052702   9: 0.016673409609433   7: 0.016673215725284   5: 0.016673193019304   2: 0.016673090671315   8: 0.016673015413951   4: 0.016672996768821   3: 0.016672931527909 

test_15020        0: 0.679945340990152   6: 0.202463204805548   5: 0.014718665646938   3: 0.014699166316171   1: 0.014698366246948   4: 0.014697775216732   8: 0.014694714796272   9: 0.014694309240468   2: 0.014694229772432   7: 0.014694226968341 

test_15023        5: 0.740545007190088   4: 0.028831895619374   8: 0.028828063001294   2: 0.028827986212362   3: 0.028827936769371   7: 0.028827906864521   0: 0.028827879726867   9: 0.028827845424360   1: 0.028827794348022   6: 0.028827684843742 

test_15024        0: 0.793019330179501   6: 0.059723023455946   5: 0.018419578365219   4: 0.018415454823800   9: 0.018408984188798   1: 0.018406866796054   8: 0.018403682402575   7: 0.018401330662522   2: 0.018401008766873   3: 0.018400740358712 

test_15026        5: 0.829715732614159   8: 0.019009583634353   6: 0.018920737358163   0: 0.018909626039126   1: 0.018908293513870   9: 0.018908146535110   4: 0.018907759026100   2: 0.018906854166833   7: 0.018906731567855   3: 0.018906535544431 

test_15027        0: 0.517226470419374   5: 0.240362890853870   4: 0.030310055638542   6: 0.030302546498255   3: 0.030300115153871   2: 0.030299881179153   8: 0.030299795038383   1: 0.030299473760547   7: 0.030299400162895   9: 0.030299371295110 

test_15028        5: 0.817038619154400   9: 0.020331380196402   6: 0.020331117901907   8: 0.020330178659715   4: 0.020329460658990   1: 0.020328693971457   0: 0.020328557852841   7: 0.020327512924646   2: 0.020327305869473   3: 0.020327172810168 

test_15029        5: 0.590286987619119   2: 0.229917472879642   1: 0.022479080656157   6: 0.022475035746882   0: 0.022474705632660   7: 0.022474095091422   4: 0.022473600319163   9: 0.022473038973460   8: 0.022473026583646   3: 0.022472956497850 

test_15031        8: 0.468345343594762   6: 0.180512996402800   1: 0.152813928110850   0: 0.111983713169769   5: 0.014398962297417   9: 0.014392372264696   3: 0.014388790281218   4: 0.014388141307009   2: 0.014387939316270   7: 0.014387813255209 

test_15032        5: 0.739505172957363   3: 0.077477843868339   2: 0.022935036683484   1: 0.022872709726347   6: 0.022872134131083   9: 0.022871557725159   4: 0.022867578177421   0: 0.022866653378222   7: 0.022865746562965   8: 0.022865566789617 

test_15033        6: 0.688020815081640   0: 0.153709025870160   1: 0.057434712445525   8: 0.014407352672957   3: 0.014407176343745   9: 0.014405888622615   2: 0.014404202385770   5: 0.014403885737092   7: 0.014403672804651   4: 0.014403268035845 

test_15037        5: 0.769696272532502   6: 0.025674566089779   3: 0.025609230498339   1: 0.025579580462150   0: 0.025578920307755   9: 0.025572948293988   4: 0.025572287419648   2: 0.025572168671839   7: 0.025572100794217   8: 0.025571924929781 

test_15038        2: 0.767559476086863   8: 0.061946878402160   5: 0.021319259029837   6: 0.021319039093900   0: 0.021312496490961   7: 0.021309366018151   1: 0.021309300844259   4: 0.021309079919955   9: 0.021307922071404   3: 0.021307182042512 

test_15043        6: 0.504300096151192   7: 0.332792134877019   0: 0.086768079275832   8: 0.010879867109043   9: 0.010878321046818   5: 0.010877431188848   1: 0.010877227901205   4: 0.010876097181093   3: 0.010875755661672   2: 0.010874989607279 

test_15045        6: 0.472086224584277   8: 0.241886881809771   7: 0.129013021854753   0: 0.049961635985510   1: 0.017860414043414   5: 0.017841397105488   9: 0.017839664889655   3: 0.017837335256125   4: 0.017836847091306   2: 0.017836577379701 

test_15046        9: 0.100000000000000   8: 0.100000000000000   7: 0.100000000000000   6: 0.100000000000000   5: 0.100000000000000   4: 0.100000000000000   3: 0.100000000000000   2: 0.100000000000000   1: 0.100000000000000   0: 0.100000000000000 

test_15048        6: 0.622168098543015   9: 0.154624632166805   3: 0.099151665055863   1: 0.056482922546573   7: 0.011264899107194   0: 0.011263725447811   8: 0.011261204091382   2: 0.011260978058990   5: 0.011260969937825   4: 0.011260905044543 

test_15049        8: 0.606969697158143   6: 0.221120924502922   5: 0.069037791364788   3: 0.014753322623729   0: 0.014691751285613   9: 0.014687499159943   1: 0.014686432606402   7: 0.014684351954621   4: 0.014684244050582   2: 0.014683985293257 

test_15052        7: 0.519642555522691   1: 0.308804711288306   9: 0.021478946490948   4: 0.021465470417721   6: 0.021450703212644   5: 0.021444066029039   0: 0.021431767010843   8: 0.021430985783602   2: 0.021426037639940   3: 0.021424756604266 

test_15053        7: 0.427846807147362   5: 0.350855552741525   9: 0.027666327535494   4: 0.027665381115753   6: 0.027664846732117   8: 0.027664283448466   0: 0.027660464213231   1: 0.027660279783653   3: 0.027658075994383   2: 0.027657981288015 

