Corpus Type: binary
Topic Count: 10

test_14826        2: 0.347172681428323   4: 0.288428204057364   9: 0.261181653614965   7: 0.078702195466954   6: 0.022405034225397   8: 0.000422052607822   5: 0.000422049132863   0: 0.000422047120247   3: 0.000422046815941   1: 0.000422035530124 
test_14852        3: 0.700712643193211   8: 0.173695024758851   7: 0.087703977676761   6: 0.031219768972335   9: 0.001111560254590   4: 0.001111470633040   0: 0.001111464901892   2: 0.001111456374401   5: 0.001111397810822   1: 0.001111235424096 

test_14854        4: 0.846873336991220   2: 0.126454619601560   9: 0.003335204101916   6: 0.003334349857631   3: 0.003333934066791   8: 0.003333918009947   7: 0.003333816432812   0: 0.003333790737935   5: 0.003333558585239   1: 0.003333471614951 

test_14858        4: 0.620360353410204   7: 0.145448460894722   8: 0.136817487515739   3: 0.093055551440838   1: 0.000720059700779   9: 0.000719638706654   6: 0.000719634027662   2: 0.000719629850034   5: 0.000719597750511   0: 0.000719586702857 

test_14859        3: 0.498714576700286   1: 0.195378307040820   6: 0.160267007296640   4: 0.129420056685064   2: 0.002703426613986   0: 0.002703403848375   8: 0.002703333442772   7: 0.002703327131893   5: 0.002703316839691   9: 0.002703244400474 

test_14860        0: 0.935091734276477   9: 0.039091627991912   1: 0.003228258139797   3: 0.003227301764120   2: 0.003227234907753   4: 0.003227226121896   7: 0.003227199994448   6: 0.003227000322150   5: 0.003226377201509   8: 0.003226039279937 

test_14861        7: 0.870063261918552   9: 0.109420210444898   6: 0.002565135957651   2: 0.002564795635313   4: 0.002564701440650   0: 0.002564616496189   3: 0.002564446569451   8: 0.002564352802687   5: 0.002564260401104   1: 0.002564218333505 

test_14862        2: 0.609733816670914   4: 0.382421856319977   7: 0.000980587678520   8: 0.000980574166073   9: 0.000980567576397   3: 0.000980563581095   6: 0.000980530864853   0: 0.000980528202654   5: 0.000980504953930   1: 0.000980469985587 

test_14863        7: 0.352025958298860   4: 0.298854070457954   3: 0.153646525370453   6: 0.116551358956797   0: 0.041441920678238   9: 0.033312455246885   8: 0.001042057182186   5: 0.001041924601135   1: 0.001041869661763   2: 0.001041859545729 

test_14865        3: 0.542066851914573   9: 0.259952682233910   1: 0.143904277136575   0: 0.038283323647519   7: 0.002632330471433   8: 0.002632302347227   5: 0.002632285040414   4: 0.002632074984891   6: 0.002631955118486   2: 0.002631917104972 

test_14867        4: 0.980430610997370   6: 0.002175142613460   2: 0.002174601680563   3: 0.002174543771885   7: 0.002174268698642   5: 0.002174247864038   9: 0.002174214064095   0: 0.002174202213264   8: 0.002174113714063   1: 0.002174054382621 

test_14872        3: 0.746712300410652   7: 0.240170174395282   4: 0.001639947545505   2: 0.001639904805373   0: 0.001639889737923   6: 0.001639652643564   5: 0.001639574285092   9: 0.001639553523646   8: 0.001639515491236   1: 0.001639487161727 

test_14873        7: 0.457104820118620   6: 0.373207094052890   0: 0.096151617561703   4: 0.064710931354306   3: 0.001471068256460   2: 0.001471062353292   5: 0.001470923696247   1: 0.001470844975987   9: 0.001470841240987   8: 0.001470796389509 

test_14875        4: 0.667889929778290   0: 0.185163691693563   1: 0.131386520017992   7: 0.002223052696983   5: 0.002223051497909   2: 0.002223013765285   3: 0.002222948208489   6: 0.002222625373423   9: 0.002222605116106   8: 0.002222561851959 

test_14876        0: 0.539651447430549   1: 0.296328530698222   3: 0.140683567313986   5: 0.003334110598558   4: 0.003333867327193   8: 0.003333805376627   9: 0.003333749584168   6: 0.003333716248452   2: 0.003333616526522   7: 0.003333588895722 

test_14877        9: 0.973523530365526   8: 0.002942465245179   7: 0.002942045716358   5: 0.002942034033550   4: 0.002941994143838   2: 0.002941904258063   1: 0.002941706877123   6: 0.002941627718087   3: 0.002941467655338   0: 0.002941223986937 

test_14881        9: 0.567286677979957   2: 0.249593534105059   4: 0.173784893740281   7: 0.001333695696388   6: 0.001333639185770   5: 0.001333633683598   8: 0.001333570101162   3: 0.001333532043235   1: 0.001333429759943   0: 0.001333393704605 

test_14882        4: 0.690879241094264   6: 0.129573445620087   8: 0.121909978037214   1: 0.043000161423698   3: 0.002439860824393   0: 0.002439629758535   5: 0.002439508803871   2: 0.002439443764211   7: 0.002439394994454   9: 0.002439335679272 

test_14885        4: 0.978567468736013   7: 0.002381638598390   5: 0.002381569785988   2: 0.002381520275758   9: 0.002381491082757   8: 0.002381388081003   6: 0.002381382954915   3: 0.002381379394027   1: 0.002381100318435   0: 0.002381060772715 

test_14886        4: 0.496083355746683   8: 0.450571481095196   7: 0.006670133610278   5: 0.006669026912317   6: 0.006668115380609   1: 0.006667962022309   9: 0.006667904561644   3: 0.006667609551399   2: 0.006667494526212   0: 0.006666916593354 

test_14888        5: 0.597167283510512   4: 0.211611246314446   3: 0.183354572184791   2: 0.001123922450885   6: 0.001123922167220   7: 0.001123881098083   8: 0.001123857938406   9: 0.001123835961587   0: 0.001123743780145   1: 0.001123734593925 

test_14890        2: 0.504954433621651   4: 0.181855558254587   7: 0.177461759513229   6: 0.103745705587269   0: 0.013160237023547   3: 0.010081064280418   8: 0.007364724886595   1: 0.000458862929521   9: 0.000458835010255   5: 0.000458818892929 

test_14891        4: 0.503634664713345   2: 0.189698583830582   7: 0.114755790455559   3: 0.109081373817581   9: 0.075431177734192   6: 0.005751917219280   1: 0.000411664053174   8: 0.000411642599003   5: 0.000411593953413   0: 0.000411591623871 

test_14892        4: 0.865668754190173   3: 0.083743269326804   8: 0.039648138700835   7: 0.001563044599888   6: 0.001562892479949   9: 0.001562845032504   2: 0.001562791958305   5: 0.001562776609467   0: 0.001562755178155   1: 0.001562731923918 

test_14899        1: 0.695312904738680   6: 0.224673844326644   2: 0.010002643571016   7: 0.010002560459972   3: 0.010001962511420   9: 0.010001703582906   5: 0.010001412984395   8: 0.010001399622774   4: 0.010000837823238   0: 0.010000730378955 

test_14900        3: 0.757832825192012   2: 0.165225744153497   4: 0.036184538922783   9: 0.032183280091743   7: 0.001429230155668   5: 0.001428970610454   0: 0.001428884700644   6: 0.001428877149596   8: 0.001428857528477   1: 0.001428791495125 

test_14903        0: 0.418152296139876   4: 0.396705573541493   1: 0.159209701167666   2: 0.003705142122660   3: 0.003705092188599   7: 0.003704580019822   6: 0.003704481167069   9: 0.003704388148229   5: 0.003704376368435   8: 0.003704369136151 

test_14904        4: 0.577428559761713   9: 0.249903263224468   6: 0.164332954133760   7: 0.001190910054969   2: 0.001190841162502   1: 0.001190759123506   5: 0.001190719149083   8: 0.001190714758752   3: 0.001190651127931   0: 0.001190627503317 

test_14907        3: 0.535581383362910   5: 0.359843418737210   1: 0.086148517892208   2: 0.002632712270182   6: 0.002632613428346   7: 0.002632519562273   9: 0.002632396081934   8: 0.002632355609276   4: 0.002632311471057   0: 0.002631771584602 

test_14909        4: 0.738228068366529   9: 0.126790302691579   3: 0.124209679109638   8: 0.001539030228467   5: 0.001539012562956   7: 0.001538833656011   0: 0.001538808289490   1: 0.001538786057401   2: 0.001538762422111   6: 0.001538716615818 

test_14911        2: 0.407925839123251   7: 0.273682068402351   5: 0.147721517454655   3: 0.086201024274457   1: 0.057012780590882   6: 0.022858100319057   9: 0.001149710752194   4: 0.001149666858253   0: 0.001149652739233   8: 0.001149639485668 

test_14912        9: 0.561242360635485   2: 0.250342697077234   4: 0.178953885141465   7: 0.001351722770642   6: 0.001351661126186   5: 0.001351660487397   8: 0.001351594131141   3: 0.001351555148803   1: 0.001351450426790   0: 0.001351413054858 

test_14913        7: 0.974994708912349   5: 0.002778998294011   2: 0.002778832519590   4: 0.002778642627985   6: 0.002778401892270   3: 0.002778224417119   1: 0.002778105952996   9: 0.002778099559506   8: 0.002778076367153   0: 0.002777909457020 

test_14918        4: 0.626825212933929   2: 0.331060002161812   7: 0.005266509599746   8: 0.005264437784736   5: 0.005264177514998   9: 0.005264037011665   3: 0.005263931806388   6: 0.005263908495352   1: 0.005263904826522   0: 0.005263877864851 

test_14919        7: 0.965381323660071   4: 0.003846805085218   3: 0.003846671659294   5: 0.003846561012541   0: 0.003846549918637   2: 0.003846531076993   6: 0.003846487617878   9: 0.003846408294091   8: 0.003846362184899   1: 0.003846299490378 

test_14921        3: 0.468568808323061   5: 0.206886659363361   7: 0.074720842852247   2: 0.068866356232787   6: 0.067347264604308   9: 0.061552832282270   8: 0.050641702732296   4: 0.000471851666947   1: 0.000471850277501   0: 0.000471831665223 

test_14922        4: 0.591374003507272   8: 0.190126906405674   5: 0.182798713625112   2: 0.026323581135728   0: 0.001562969877184   1: 0.001562885354966   3: 0.001562785067567   7: 0.001562784988237   9: 0.001562689347077   6: 0.001562680691184 

test_14923        4: 0.974997509735643   7: 0.002778331517253   8: 0.002778140627519   2: 0.002778138448281   5: 0.002778080372041   9: 0.002778060905412   6: 0.002778034903398   3: 0.002778029482999   1: 0.002777848578661   0: 0.002777825428792 

test_14926        3: 0.976918620146320   4: 0.002565232111838   0: 0.002564883923228   5: 0.002564746817411   2: 0.002564569400274   8: 0.002564476801553   9: 0.002564400374948   7: 0.002564393743622   6: 0.002564368724770   1: 0.002564307956035 

test_14928        4: 0.800965597480391   7: 0.187091244182561   1: 0.001493700595750   3: 0.001492894956497   2: 0.001492828718250   5: 0.001492798613494   6: 0.001492783272106   8: 0.001492751548783   0: 0.001492722676211   9: 0.001492677955955 

test_14930        3: 0.870844921729633   1: 0.075938023391024   6: 0.031996288547942   0: 0.003035395947400   4: 0.003031409109602   2: 0.003031042986658   7: 0.003030779227927   5: 0.003030766649543   9: 0.003030705882264   8: 0.003030666528008 

test_14931        2: 0.677473552622849   4: 0.228355824006240   7: 0.089375059248358   9: 0.000685335779184   8: 0.000685072867127   3: 0.000685052004639   6: 0.000685049787938   0: 0.000685038523107   5: 0.000685030177918   1: 0.000684984982640 

test_14932        5: 0.582377261421142   2: 0.260402819263234   7: 0.136627530360972   9: 0.002942029137949   0: 0.002942014740212   1: 0.002941984174398   3: 0.002941950898501   6: 0.002941494955368   8: 0.002941466684244   4: 0.002941448363981 

test_14933        3: 0.355289443629676   7: 0.242709332446158   4: 0.228944038177552   0: 0.160554728759310   9: 0.002084201395635   2: 0.002083796364425   5: 0.002083664085391   6: 0.002083623116448   1: 0.002083593555600   8: 0.002083578469806 

test_14934        1: 0.800326247214638   5: 0.146338763419784   0: 0.006667296319914   8: 0.006667067627832   3: 0.006666884843436   9: 0.006666791352072   6: 0.006666785095233   7: 0.006666723315995   2: 0.006666722183712   4: 0.006666718627383 

test_14941        6: 0.521077147985480   3: 0.465805078333378   2: 0.001639899401690   5: 0.001639887989758   4: 0.001639774951954   0: 0.001639769219174   7: 0.001639726486438   9: 0.001639641822052   8: 0.001639539686810   1: 0.001639534123265 

test_14943        5: 0.871406897298396   6: 0.014294335326735   9: 0.014288762553649   3: 0.014288302733248   8: 0.014287854567416   7: 0.014287002023911   2: 0.014286892856852   1: 0.014286837927748   0: 0.014286834344772   4: 0.014286280367273 

test_14949        9: 0.427879010008017   5: 0.401906921977113   3: 0.156211244069869   0: 0.002000715742122   4: 0.002000381837475   6: 0.002000374499868   2: 0.002000364920418   8: 0.002000361211925   7: 0.002000328218220   1: 0.002000297514971 

test_14951        4: 0.517756553555834   9: 0.244472945778341   3: 0.193393736141890   8: 0.031874117911929   7: 0.002084043481966   2: 0.002083798113681   6: 0.002083767231494   5: 0.002083757483918   1: 0.002083700594927   0: 0.002083579706021 

test_14954        0: 0.924993400333001   3: 0.008335074933693   9: 0.008334333573642   4: 0.008334240190521   5: 0.008334104536158   6: 0.008333993950370   2: 0.008333936056910   1: 0.008333890787536   7: 0.008333543640922   8: 0.008333481997246 

test_14957        9: 0.556094866649800   2: 0.256079785936094   8: 0.175322838481003   7: 0.001786375103332   4: 0.001786251657861   5: 0.001786060963690   6: 0.001785999835766   3: 0.001785992944426   1: 0.001785992316630   0: 0.001785836111399 

test_14958        0: 0.619619873023010   5: 0.220373785104848   9: 0.020003034788385   1: 0.020002466168211   3: 0.020000763738223   6: 0.020000043699475   7: 0.020000010384994   8: 0.020000009840476   4: 0.020000008937809   2: 0.020000004314569 

test_14959        6: 0.774798385794280   8: 0.126760150692699   4: 0.089465518946218   9: 0.001282434657530   2: 0.001282310030258   7: 0.001282305646870   5: 0.001282270082284   3: 0.001282260891799   1: 0.001282201836982   0: 0.001282161421080 

test_14960        0: 0.947056824009257   8: 0.005883175443847   1: 0.005882693475691   5: 0.005882569804334   3: 0.005882566114896   9: 0.005882548083355   6: 0.005882441617946   7: 0.005882397119374   4: 0.005882396869097   2: 0.005882387462201 

test_14962        0: 0.676576428849866   1: 0.133302972311702   5: 0.120117702502740   9: 0.010001470790549   3: 0.010000839826325   6: 0.010000171260208   4: 0.010000156342943   7: 0.010000111227708   8: 0.010000080055575   2: 0.010000066832384 

test_14963        0: 0.939997236791240   1: 0.006667104509726   5: 0.006667048610011   9: 0.006667043603948   3: 0.006667038617718   2: 0.006666951360439   8: 0.006666930886838   4: 0.006666920216042   7: 0.006666892781179   6: 0.006666832622858 

test_14964        7: 0.960866029811035   3: 0.004348490846648   5: 0.004348301728869   4: 0.004348301363799   2: 0.004348282976637   0: 0.004348277320371   6: 0.004348197541409   1: 0.004348044453462   8: 0.004348038530299   9: 0.004348035427471 

test_14965        0: 0.887494171790664   7: 0.012502356945030   1: 0.012501182440950   5: 0.012500706644059   3: 0.012500628190165   6: 0.012500307438544   9: 0.012500256906328   2: 0.012500198100650   8: 0.012500101163011   4: 0.012500090380599 

test_14967        3: 0.857186558874522   1: 0.110805816726629   0: 0.004001300693291   2: 0.004001184302996   4: 0.004001169292612   5: 0.004001165330808   7: 0.004000945871641   6: 0.004000739308257   9: 0.004000702533939   8: 0.004000417065305 

test_14968        0: 0.646666807040948   6: 0.286662105077713   2: 0.008334518398039   1: 0.008334453981623   7: 0.008334319938871   3: 0.008333785531295   5: 0.008333570932445   4: 0.008333529596831   9: 0.008333480767819   8: 0.008333428734416 

test_14969        0: 0.962494559848853   6: 0.004167776240910   2: 0.004167487617946   5: 0.004167465263678   7: 0.004167417551316   3: 0.004167290582140   1: 0.004167258491789   4: 0.004166966764472   9: 0.004166922071096   8: 0.004166855567799 

test_14970        0: 0.661482761974360   6: 0.294064038934144   1: 0.005557377862180   5: 0.005557158379589   3: 0.005556688617302   2: 0.005556579897110   4: 0.005556553214030   8: 0.005556397327414   7: 0.005556294207010   9: 0.005556149586861 

test_14971        0: 0.930767691019556   1: 0.007692865045862   5: 0.007692613235895   3: 0.007692597875286   9: 0.007692412403593   6: 0.007692412028179   7: 0.007692360342334   4: 0.007692358707123   8: 0.007692348368694   2: 0.007692340973477 

test_14974        4: 0.939994653205725   1: 0.006667633221321   2: 0.006667561064950   5: 0.006667552802404   7: 0.006667529289733   3: 0.006667133517702   8: 0.006667130205251   6: 0.006666998540627   0: 0.006666976630028   9: 0.006666831522260 

test_14975        3: 0.537984350411500   0: 0.321706778024017   4: 0.087430925417398   1: 0.040630110617770   7: 0.002041587171934   5: 0.002041456415352   2: 0.002041320119058   6: 0.002041257794108   9: 0.002041131100806   8: 0.002041082928058 

test_14978        5: 0.441888014041228   3: 0.292261240367900   9: 0.164566619629652   8: 0.084614586041853   6: 0.002778539508019   0: 0.002778213249593   7: 0.002778211474966   1: 0.002778208162011   4: 0.002778203216172   2: 0.002778164308606 

test_14981        0: 0.702936619765932   6: 0.239916008013522   1: 0.007145480927043   5: 0.007143468956992   3: 0.007143239362590   4: 0.007143117828916   8: 0.007143072746671   2: 0.007143029163609   9: 0.007142989682384   7: 0.007142973552342 

test_14982        5: 0.573371822575569   7: 0.291855615527239   9: 0.106570487277303   3: 0.023689564192182   4: 0.000752144558356   2: 0.000752132624152   6: 0.000752112609298   8: 0.000752100576924   1: 0.000752030821725   0: 0.000751989237252 

test_14983        0: 0.965382668268389   7: 0.003846765893262   4: 0.003846399295598   3: 0.003846356427242   6: 0.003846346279543   1: 0.003846337237934   5: 0.003846322910106   2: 0.003846293013734   9: 0.003846258643435   8: 0.003846252030756 

test_14984        3: 0.592062635339189   7: 0.334133011578434   4: 0.040553298556946   1: 0.024425284727446   2: 0.001471091856439   0: 0.001471033866336   8: 0.001470987221029   6: 0.001470982542700   5: 0.001470845321980   9: 0.001470828989501 

test_14985        0: 0.787646160071516   2: 0.139613671381950   6: 0.009097389247335   7: 0.009092752440582   1: 0.009092594408164   5: 0.009091731524941   4: 0.009091574810473   8: 0.009091540650161   3: 0.009091503113765   9: 0.009091082351113 

test_14986        4: 0.783349040268068   9: 0.143916085436612   5: 0.009092541452536   7: 0.009092406540554   2: 0.009092118911308   8: 0.009092007187770   3: 0.009091978736977   6: 0.009091626418538   1: 0.009091150354859   0: 0.009091044692777 

test_14987        2: 0.991260587254006   4: 0.000971309283921   7: 0.000971104366326   6: 0.000971058402779   9: 0.000971039335741   1: 0.000971010654918   5: 0.000970982213068   8: 0.000970981073913   3: 0.000970964593639   0: 0.000970962821687 

test_14988        4: 0.983633566864283   2: 0.001818745465220   5: 0.001818548090990   7: 0.001818525159069   8: 0.001818490073526   6: 0.001818484035372   1: 0.001818462417568   3: 0.001818457222775   9: 0.001818425590613   0: 0.001818295080584 

test_14993        3: 0.465503937592248   0: 0.337525925505577   2: 0.185491767603397   4: 0.001639875726650   6: 0.001639814281062   7: 0.001639789664318   5: 0.001639748545950   8: 0.001639743062508   1: 0.001639732971590   9: 0.001639665046700 

test_14995        0: 0.734669390792082   4: 0.192602052958091   1: 0.009091563154878   3: 0.009091158802659   5: 0.009091074192068   6: 0.009090995113899   9: 0.009090973217205   2: 0.009090939453751   7: 0.009090932013686   8: 0.009090920301680 

test_14998        0: 0.432550738274571   1: 0.395846085681630   5: 0.139783776141326   3: 0.004545762303296   6: 0.004545710987057   4: 0.004545634524133   8: 0.004545612549817   7: 0.004545594924371   9: 0.004545542576257   2: 0.004545542037543 

test_15000        0: 0.735007251620624   9: 0.224988969481050   4: 0.005000863234379   3: 0.005000566636191   8: 0.005000558149314   2: 0.005000509931644   1: 0.005000375970112   7: 0.005000355446601   5: 0.005000313422062   6: 0.005000236108023 

test_15001        5: 0.346216798170382   9: 0.317166678457888   0: 0.295430415319596   2: 0.005886240334223   4: 0.005883673823256   3: 0.005883621078432   1: 0.005883503714460   6: 0.005883334039017   8: 0.005882982414248   7: 0.005882752648498 

test_15002        0: 0.714003685037040   5: 0.219310571499306   2: 0.008337208559841   8: 0.008336683815008   9: 0.008336328717452   6: 0.008335876124484   4: 0.008335527724149   7: 0.008335260333557   3: 0.008334634023572   1: 0.008334224165591 

test_15004        3: 0.534729830778092   9: 0.420817414435978   5: 0.005557526573156   4: 0.005556669853020   0: 0.005556590970101   6: 0.005556583481280   2: 0.005556579309299   1: 0.005556533070323   8: 0.005556147071322   7: 0.005556124457429 

test_15005        3: 0.977495212962261   0: 0.002500914932686   4: 0.002500628561135   7: 0.002500579838800   2: 0.002500562268951   5: 0.002500483863635   8: 0.002500473652328   9: 0.002500451069704   6: 0.002500427466909   1: 0.002500265383590 

test_15006        0: 0.821264269605983   3: 0.106006459032287   1: 0.009091541666969   5: 0.009091248463714   4: 0.009091172655371   6: 0.009091115643643   9: 0.009091068474029   8: 0.009091049903813   2: 0.009091038152445   7: 0.009091036401749 

test_15011        1: 0.849991979016937   0: 0.016670209100786   5: 0.016668716084974   3: 0.016667984955192   9: 0.016666997324262   6: 0.016666896796045   8: 0.016666848206372   7: 0.016666837044479   2: 0.016666827465672   4: 0.016666704005282 

test_15012        1: 0.930768050554240   0: 0.007692870089382   5: 0.007692447406887   3: 0.007692435308316   9: 0.007692406121414   6: 0.007692374750746   8: 0.007692366963912   4: 0.007692363505030   7: 0.007692345127456   2: 0.007692340172617 

test_15013        8: 0.491931134663862   4: 0.474707713774167   1: 0.022589982323661   3: 0.001538810589476   7: 0.001538792393723   2: 0.001538771204674   5: 0.001538740485688   9: 0.001538708585759   6: 0.001538705111722   0: 0.001538640867268 

test_15016        0: 0.591303977294629   2: 0.275351294214594   5: 0.016671101517216   3: 0.016669681446619   7: 0.016668914798427   6: 0.016667201236225   1: 0.016667119690563   4: 0.016667002393987   9: 0.016666924137477   8: 0.016666783270263 

test_15017        4: 0.885335402488994   8: 0.087074036080784   5: 0.003449387239129   7: 0.003448933127792   2: 0.003448918971205   3: 0.003448896915093   9: 0.003448710092770   6: 0.003448682812521   1: 0.003448622188659   0: 0.003448410083055 

test_15020        9: 0.364296371859309   3: 0.269033112871561   2: 0.241414225486759   0: 0.066306342146057   1: 0.050883502190866   4: 0.001613358517419   7: 0.001613330301374   5: 0.001613296661359   6: 0.001613266169528   8: 0.001613193795767 

test_15023        0: 0.733341076120638   9: 0.193928516849279   1: 0.009091951406137   6: 0.009091808869864   3: 0.009091334886657   5: 0.009091239939033   2: 0.009091162204415   7: 0.009090979048883   4: 0.009090968652220   8: 0.009090962022873 

test_15024        5: 0.738964844402395   3: 0.233442611736352   8: 0.003449488841442   4: 0.003449142631235   7: 0.003449138432901   9: 0.003449092965346   0: 0.003448992771002   2: 0.003448985712211   6: 0.003448883733868   1: 0.003448818773246 

test_15026        0: 0.573447704276466   3: 0.395775132360159   8: 0.003848338864064   2: 0.003847761224369   5: 0.003847357651932   4: 0.003846961661957   7: 0.003846832032947   6: 0.003846689381780   1: 0.003846643960617   9: 0.003846578585709 

test_15027        0: 0.909991319610588   3: 0.010003232771789   9: 0.010001638115922   7: 0.010001146547365   1: 0.010000943439190   6: 0.010000831455101   5: 0.010000450478170   8: 0.010000288736358   2: 0.010000136499949   4: 0.010000012345569 

test_15028        0: 0.600942860152216   1: 0.367052320575706   7: 0.004001151500708   4: 0.004000808383201   6: 0.004000792270529   2: 0.004000631894157   3: 0.004000426476046   5: 0.004000386218310   9: 0.004000372437293   8: 0.004000250091836 

test_15029        1: 0.858592645256605   3: 0.106619343573187   0: 0.004349483810840   5: 0.004348810809253   6: 0.004348557624144   4: 0.004348307883183   7: 0.004348263001895   9: 0.004348249623716   2: 0.004348249201617   8: 0.004348089215561 

test_15031        3: 0.424157952968246   8: 0.348979975783903   2: 0.140162687749403   5: 0.044570080368255   0: 0.032868135960081   6: 0.001852402284190   9: 0.001852290343021   1: 0.001852262224887   4: 0.001852148256811   7: 0.001852064061202 

test_15032        1: 0.710356573834594   0: 0.186206146381607   9: 0.064545393791740   5: 0.005556208552524   2: 0.005556111709073   3: 0.005556066055258   4: 0.005555988774455   6: 0.005555896526419   7: 0.005555872177299   8: 0.005555742197030 

test_15033        4: 0.498490251583019   2: 0.208104818207565   7: 0.132845509852530   8: 0.103662360849309   5: 0.047460258849890   1: 0.001887981878180   9: 0.001887573550720   6: 0.001887260957269   3: 0.001887049314494   0: 0.001886934957023 

test_15037        3: 0.782716019908649   1: 0.172833502503456   5: 0.005557995737800   0: 0.005556617212682   6: 0.005556176567982   9: 0.005556070003065   2: 0.005556046156348   7: 0.005556026663417   4: 0.005555810197862   8: 0.005555735048739 

test_15038        4: 0.498206634982457   1: 0.354234585703813   0: 0.120630813146987   6: 0.003847602714736   3: 0.003846919832374   5: 0.003846903282309   7: 0.003846743084906   9: 0.003846673152985   2: 0.003846594535701   8: 0.003846529563733 

test_15043        8: 0.857558092014675   4: 0.135936418274282   0: 0.000813336650460   3: 0.000813258008075   1: 0.000813206843416   7: 0.000813200250390   2: 0.000813138897013   5: 0.000813125823097   9: 0.000813115791910   6: 0.000813107446683 

test_15045        4: 0.978564667443216   3: 0.002383685596613   7: 0.002382850574322   2: 0.002381410522080   6: 0.002381395627525   8: 0.002381317088078   9: 0.002381186982377   1: 0.002381182889520   5: 0.002381172395251   0: 0.002381130881017 

test_15046        9: 0.100000000000000   8: 0.100000000000000   7: 0.100000000000000   6: 0.100000000000000   5: 0.100000000000000   4: 0.100000000000000   3: 0.100000000000000   2: 0.100000000000000   1: 0.100000000000000   0: 0.100000000000000 

test_15048        2: 0.989284115010229   8: 0.001190768409974   9: 0.001190758364881   4: 0.001190722584561   7: 0.001190656479463   3: 0.001190646215272   5: 0.001190642367909   6: 0.001190623398687   0: 0.001190535397040   1: 0.001190531771984 

test_15049        6: 0.866240094671780   7: 0.115979800202190   4: 0.002222745059211   2: 0.002222658108259   0: 0.002222501506287   3: 0.002222483211728   1: 0.002222452950504   5: 0.002222450115422   8: 0.002222417740061   9: 0.002222396434556 

test_15052        5: 0.797013106251378   3: 0.175394250796341   6: 0.003450053879362   0: 0.003449841026842   4: 0.003448979299150   8: 0.003448881457269   9: 0.003448781490904   2: 0.003448729057397   7: 0.003448690151572   1: 0.003448686589785 

test_15053        0: 0.686122920917548   9: 0.247195723592495   1: 0.008336580478796   7: 0.008336533175494   6: 0.008335468102114   2: 0.008334993294231   4: 0.008334991645842   5: 0.008334529821831   3: 0.008334326889049   8: 0.008333932082600 

