Corpus Type: binary
Topic Count: 10

test_14826       0: 0.000422047120247  1: 0.000422035530124  2: 0.347172681428323  3: 0.000422046815941  4: 0.288428204057364  5: 0.000422049132863  6: 0.022405034225397  7: 0.078702195466954  8: 0.000422052607822  9: 0.261181653614965 
test_14970       0: 0.661482761974360  1: 0.005557377862180  2: 0.005556579897110  3: 0.005556688617302  4: 0.005556553214030  5: 0.005557158379589  6: 0.294064038934144  7: 0.005556294207010  8: 0.005556397327414  9: 0.005556149586861 

test_14971       0: 0.930767691019556  1: 0.007692865045862  2: 0.007692340973477  3: 0.007692597875286  4: 0.007692358707123  5: 0.007692613235895  6: 0.007692412028179  7: 0.007692360342334  8: 0.007692348368694  9: 0.007692412403593 

test_14974       0: 0.006666976630028  1: 0.006667633221321  2: 0.006667561064950  3: 0.006667133517702  4: 0.939994653205725  5: 0.006667552802404  6: 0.006666998540627  7: 0.006667529289733  8: 0.006667130205251  9: 0.006666831522260 

test_14975       0: 0.321706778024017  1: 0.040630110617770  2: 0.002041320119058  3: 0.537984350411500  4: 0.087430925417398  5: 0.002041456415352  6: 0.002041257794108  7: 0.002041587171934  8: 0.002041082928058  9: 0.002041131100806 

test_14978       0: 0.002778213249593  1: 0.002778208162011  2: 0.002778164308606  3: 0.292261240367900  4: 0.002778203216172  5: 0.441888014041228  6: 0.002778539508019  7: 0.002778211474966  8: 0.084614586041853  9: 0.164566619629652 

test_14981       0: 0.702936619765932  1: 0.007145480927043  2: 0.007143029163609  3: 0.007143239362590  4: 0.007143117828916  5: 0.007143468956992  6: 0.239916008013522  7: 0.007142973552342  8: 0.007143072746671  9: 0.007142989682384 

test_14982       0: 0.000751989237252  1: 0.000752030821725  2: 0.000752132624152  3: 0.023689564192182  4: 0.000752144558356  5: 0.573371822575569  6: 0.000752112609298  7: 0.291855615527239  8: 0.000752100576924  9: 0.106570487277303 

test_14983       0: 0.965382668268389  1: 0.003846337237934  2: 0.003846293013734  3: 0.003846356427242  4: 0.003846399295598  5: 0.003846322910106  6: 0.003846346279543  7: 0.003846765893262  8: 0.003846252030756  9: 0.003846258643435 

test_14984       0: 0.001471033866336  1: 0.024425284727446  2: 0.001471091856439  3: 0.592062635339189  4: 0.040553298556946  5: 0.001470845321980  6: 0.001470982542700  7: 0.334133011578434  8: 0.001470987221029  9: 0.001470828989501 

test_14985       0: 0.787646160071516  1: 0.009092594408164  2: 0.139613671381950  3: 0.009091503113765  4: 0.009091574810473  5: 0.009091731524941  6: 0.009097389247335  7: 0.009092752440582  8: 0.009091540650161  9: 0.009091082351113 

test_14986       0: 0.009091044692777  1: 0.009091150354859  2: 0.009092118911308  3: 0.009091978736977  4: 0.783349040268068  5: 0.009092541452536  6: 0.009091626418538  7: 0.009092406540554  8: 0.009092007187770  9: 0.143916085436612 

test_14987       0: 0.000970962821687  1: 0.000971010654918  2: 0.991260587254006  3: 0.000970964593639  4: 0.000971309283921  5: 0.000970982213068  6: 0.000971058402779  7: 0.000971104366326  8: 0.000970981073913  9: 0.000971039335741 

test_14988       0: 0.001818295080584  1: 0.001818462417568  2: 0.001818745465220  3: 0.001818457222775  4: 0.983633566864283  5: 0.001818548090990  6: 0.001818484035372  7: 0.001818525159069  8: 0.001818490073526  9: 0.001818425590613 

test_14993       0: 0.337525925505577  1: 0.001639732971590  2: 0.185491767603397  3: 0.465503937592248  4: 0.001639875726650  5: 0.001639748545950  6: 0.001639814281062  7: 0.001639789664318  8: 0.001639743062508  9: 0.001639665046700 

test_14995       0: 0.734669390792082  1: 0.009091563154878  2: 0.009090939453751  3: 0.009091158802659  4: 0.192602052958091  5: 0.009091074192068  6: 0.009090995113899  7: 0.009090932013686  8: 0.009090920301680  9: 0.009090973217205 

test_14998       0: 0.432550738274571  1: 0.395846085681630  2: 0.004545542037543  3: 0.004545762303296  4: 0.004545634524133  5: 0.139783776141326  6: 0.004545710987057  7: 0.004545594924371  8: 0.004545612549817  9: 0.004545542576257 

test_15000       0: 0.735007251620624  1: 0.005000375970112  2: 0.005000509931644  3: 0.005000566636191  4: 0.005000863234379  5: 0.005000313422062  6: 0.005000236108023  7: 0.005000355446601  8: 0.005000558149314  9: 0.224988969481050 

test_15001       0: 0.295430415319596  1: 0.005883503714460  2: 0.005886240334223  3: 0.005883621078432  4: 0.005883673823256  5: 0.346216798170382  6: 0.005883334039017  7: 0.005882752648498  8: 0.005882982414248  9: 0.317166678457888 

test_15002       0: 0.714003685037040  1: 0.008334224165591  2: 0.008337208559841  3: 0.008334634023572  4: 0.008335527724149  5: 0.219310571499306  6: 0.008335876124484  7: 0.008335260333557  8: 0.008336683815008  9: 0.008336328717452 

test_15004       0: 0.005556590970101  1: 0.005556533070323  2: 0.005556579309299  3: 0.534729830778092  4: 0.005556669853020  5: 0.005557526573156  6: 0.005556583481280  7: 0.005556124457429  8: 0.005556147071322  9: 0.420817414435978 

test_15005       0: 0.002500914932686  1: 0.002500265383590  2: 0.002500562268951  3: 0.977495212962261  4: 0.002500628561135  5: 0.002500483863635  6: 0.002500427466909  7: 0.002500579838800  8: 0.002500473652328  9: 0.002500451069704 

test_15006       0: 0.821264269605983  1: 0.009091541666969  2: 0.009091038152445  3: 0.106006459032287  4: 0.009091172655371  5: 0.009091248463714  6: 0.009091115643643  7: 0.009091036401749  8: 0.009091049903813  9: 0.009091068474029 

test_15011       0: 0.016670209100786  1: 0.849991979016937  2: 0.016666827465672  3: 0.016667984955192  4: 0.016666704005282  5: 0.016668716084974  6: 0.016666896796045  7: 0.016666837044479  8: 0.016666848206372  9: 0.016666997324262 

test_15012       0: 0.007692870089382  1: 0.930768050554240  2: 0.007692340172617  3: 0.007692435308316  4: 0.007692363505030  5: 0.007692447406887  6: 0.007692374750746  7: 0.007692345127456  8: 0.007692366963912  9: 0.007692406121414 

test_15013       0: 0.001538640867268  1: 0.022589982323661  2: 0.001538771204674  3: 0.001538810589476  4: 0.474707713774167  5: 0.001538740485688  6: 0.001538705111722  7: 0.001538792393723  8: 0.491931134663862  9: 0.001538708585759 

test_15016       0: 0.591303977294629  1: 0.016667119690563  2: 0.275351294214594  3: 0.016669681446619  4: 0.016667002393987  5: 0.016671101517216  6: 0.016667201236225  7: 0.016668914798427  8: 0.016666783270263  9: 0.016666924137477 

test_15017       0: 0.003448410083055  1: 0.003448622188659  2: 0.003448918971205  3: 0.003448896915093  4: 0.885335402488994  5: 0.003449387239129  6: 0.003448682812521  7: 0.003448933127792  8: 0.087074036080784  9: 0.003448710092770 

test_15020       0: 0.066306342146057  1: 0.050883502190866  2: 0.241414225486759  3: 0.269033112871561  4: 0.001613358517419  5: 0.001613296661359  6: 0.001613266169528  7: 0.001613330301374  8: 0.001613193795767  9: 0.364296371859309 

test_15023       0: 0.733341076120638  1: 0.009091951406137  2: 0.009091162204415  3: 0.009091334886657  4: 0.009090968652220  5: 0.009091239939033  6: 0.009091808869864  7: 0.009090979048883  8: 0.009090962022873  9: 0.193928516849279 

test_15024       0: 0.003448992771002  1: 0.003448818773246  2: 0.003448985712211  3: 0.233442611736352  4: 0.003449142631235  5: 0.738964844402395  6: 0.003448883733868  7: 0.003449138432901  8: 0.003449488841442  9: 0.003449092965346 

test_15026       0: 0.573447704276466  1: 0.003846643960617  2: 0.003847761224369  3: 0.395775132360159  4: 0.003846961661957  5: 0.003847357651932  6: 0.003846689381780  7: 0.003846832032947  8: 0.003848338864064  9: 0.003846578585709 

test_15027       0: 0.909991319610588  1: 0.010000943439190  2: 0.010000136499949  3: 0.010003232771789  4: 0.010000012345569  5: 0.010000450478170  6: 0.010000831455101  7: 0.010001146547365  8: 0.010000288736358  9: 0.010001638115922 

test_15028       0: 0.600942860152216  1: 0.367052320575706  2: 0.004000631894157  3: 0.004000426476046  4: 0.004000808383201  5: 0.004000386218310  6: 0.004000792270529  7: 0.004001151500708  8: 0.004000250091836  9: 0.004000372437293 

test_15029       0: 0.004349483810840  1: 0.858592645256605  2: 0.004348249201617  3: 0.106619343573187  4: 0.004348307883183  5: 0.004348810809253  6: 0.004348557624144  7: 0.004348263001895  8: 0.004348089215561  9: 0.004348249623716 

test_15031       0: 0.032868135960081  1: 0.001852262224887  2: 0.140162687749403  3: 0.424157952968246  4: 0.001852148256811  5: 0.044570080368255  6: 0.001852402284190  7: 0.001852064061202  8: 0.348979975783903  9: 0.001852290343021 

test_15032       0: 0.186206146381607  1: 0.710356573834594  2: 0.005556111709073  3: 0.005556066055258  4: 0.005555988774455  5: 0.005556208552524  6: 0.005555896526419  7: 0.005555872177299  8: 0.005555742197030  9: 0.064545393791740 

test_15033       0: 0.001886934957023  1: 0.001887981878180  2: 0.208104818207565  3: 0.001887049314494  4: 0.498490251583019  5: 0.047460258849890  6: 0.001887260957269  7: 0.132845509852530  8: 0.103662360849309  9: 0.001887573550720 

test_15037       0: 0.005556617212682  1: 0.172833502503456  2: 0.005556046156348  3: 0.782716019908649  4: 0.005555810197862  5: 0.005557995737800  6: 0.005556176567982  7: 0.005556026663417  8: 0.005555735048739  9: 0.005556070003065 

test_15038       0: 0.120630813146987  1: 0.354234585703813  2: 0.003846594535701  3: 0.003846919832374  4: 0.498206634982457  5: 0.003846903282309  6: 0.003847602714736  7: 0.003846743084906  8: 0.003846529563733  9: 0.003846673152985 

test_15043       0: 0.000813336650460  1: 0.000813206843416  2: 0.000813138897013  3: 0.000813258008075  4: 0.135936418274282  5: 0.000813125823097  6: 0.000813107446683  7: 0.000813200250390  8: 0.857558092014675  9: 0.000813115791910 

test_15045       0: 0.002381130881017  1: 0.002381182889520  2: 0.002381410522080  3: 0.002383685596613  4: 0.978564667443216  5: 0.002381172395251  6: 0.002381395627525  7: 0.002382850574322  8: 0.002381317088078  9: 0.002381186982377 

test_15046       0: 0.100000000000000  1: 0.100000000000000  2: 0.100000000000000  3: 0.100000000000000  4: 0.100000000000000  5: 0.100000000000000  6: 0.100000000000000  7: 0.100000000000000  8: 0.100000000000000  9: 0.100000000000000 

test_15048       0: 0.001190535397040  1: 0.001190531771984  2: 0.989284115010229  3: 0.001190646215272  4: 0.001190722584561  5: 0.001190642367909  6: 0.001190623398687  7: 0.001190656479463  8: 0.001190768409974  9: 0.001190758364881 

test_15049       0: 0.002222501506287  1: 0.002222452950504  2: 0.002222658108259  3: 0.002222483211728  4: 0.002222745059211  5: 0.002222450115422  6: 0.866240094671780  7: 0.115979800202190  8: 0.002222417740061  9: 0.002222396434556 

test_15052       0: 0.003449841026842  1: 0.003448686589785  2: 0.003448729057397  3: 0.175394250796341  4: 0.003448979299150  5: 0.797013106251378  6: 0.003450053879362  7: 0.003448690151572  8: 0.003448881457269  9: 0.003448781490904 

test_15053       0: 0.686122920917548  1: 0.008336580478796  2: 0.008334993294231  3: 0.008334326889049  4: 0.008334991645842  5: 0.008334529821831  6: 0.008335468102114  7: 0.008336533175494  8: 0.008333932082600  9: 0.247195723592495 

